,data
62,The German Fuel Emissions Trading Act (BEHG) stipulates the introduction of a national carbon pricing system for fuel in Germany starting in 2021.
63,Malnutrition is not the only reason why the global food system needs to change.
64,"Scope 3 includes indirect greenhouse gas emissions, such as the extraction and production of purchased materials, transport-related activities, waste disposal, and employee travel."
65,"In addition, we encourage the use of virtual meetings and train transportation."
66,But there’s a negative side to this success – and that’s plastic waste.
67,"CO2 emissions per production unit are now an important element for corporate competitiveness, and companies’ interests, assets, businesses and others related to fossil fuels can be assumed to become “stranded assets” and may lose their value in the future."
68,"Amundi pursues a responsible paper policy both in France and abroad, with the objective of reducing its use of paper, promoting careful use of paper and recycling used paper."
69,"The information available on the Global Coal Exit List, whose methodology and full list of issuers are publicly available and accessible on the website below."
70,"Our carbon offset purchases finance renewable energy, forestry and resource conservation projects globally."
71,"Our message is simple: we want to reduce, reuse and recycle – focusing heavily on reducing and only looking at reusing and recycling where no alternative is available."
72,"Since 2007 when it was launched, we have financed more than $200 billion in capital towards clean energy, energy efficiency, water conservation, sustainable transportation, and other environmentally supportive activities."
73,"The other challenge is to measure a company's carbon footprint, which is defined to include emissions from its own operations as much as emissions from its supply chain at the upstream end and its customers at the downstream end."
74,"‘PACTA for Banks’ will continue to evolve and 2DII plans to add new sectors, such as heavy-duty vehicles in the automotive sector, and shipping and aviation."
75,"Sewage from the headquarters is instead collected and transferred in an “Imhof tank” with a sub-irrigation system for clarified material into the soil, which came into operation in 2020."
76,The process of negative screening narrowed the investment universe somewhat and reduced the scope for diversification.
77,"When we do travel, we aim to reduce our emissions by leveraging lower-carbon options, including by transitioning our entire owned vehicle feet to electric by 2025."
78,"Scope 3 emissions, where not available, have been estimated applying conversion factors on production volume, following the Intergovernmental Panel on Climate Change (IPCC) approach."
79,"Similarly, we have accelerated our plans this year to cut operational carbon emissions to zero, advancing our deadline by a decade to 2030 from 2040 previously."
80,"Since launching this solution, we had built up a feet of 20 000 bicycles, primarily consisting of electric and speed e-bicycle models, ideal for commuters."
81,"As defined by EMF, a circular economy is a systems solution framework that tackles global challenges like climate change, biodiversity loss, waste, and pollution."
82,"Furthermore, we help our customers take a more sustainable approach to recycling or disposing of our products and packaging."
83,The dialogue started with a letter to the Brazilian government on the issue of deforestation which was signed by 29 financial institutions.
84,"Government grants: Government grants related to the acquisition or construction of property, plant and equipment reduce the acquisition or construction cost of the respective assets."
85,We have introduced a new simplified Global Travel Policy that enables us to reduce costs and CO2 emissions.
86,"At the core of the approach is our goal to preserve and enhance risk-adjusted returns and to reduce environmental risk, improve asset efficiency, and deliver high-quality spaces to tenants."
87,"The analysis in this chapter shows that a change in what food is produced, what is eaten and how much is eaten is required to bring the global food system and human health on a more sustainable path."
88,"Having committed to reducing our vehicle feet CO2 emissions every year from 2016 until 2020, we have begun to source more environmentally friendly cars, along with implementing other initiatives (see case study opposite)."
89,"In 2020, Natixis won two categories: “Annual CO2 emissions/GHG emissions” and “Annual consumption/Institutional, promotional and desktop documents”."
90,"To help us focus on things that matter the most to our employees, Europa promotes a continuous performance and development cycle by encouraging employee feedback through targeted surveys and annual appraisal reviews."
91,The World Resources Report lists a wide variety of approaches at various stages of the supply chain to reduce food loss and waste.
92,"Under this system, our waste streams are broken down into five categories by percentage: landfilling, thermal disposal, waste-to-energy, recycling, and prevention."
93,"As an example, in the calculation as of the end of 2020, carbon emissions of an issuer relate to 2019, whereas market capitalization is shown as of the end of 2020."
94,"In 2020, the management of the agreement was committed to strengthening the ESG criteria defined, i.e. compliance with the constraints of SRI ratings, EET and carbon footprint within the agreement."
95,"Our ambition is to reduce carbon intensity further, by establishing roadmaps to reach net-zero."
96,We achieved our goal to reduce energy use by 40 percent.
97,"However, a challenge remains for many economic actors: quantifying their impact in order to propose the most effective decarbonization plans."
98,The main goal of Client Energy Transition Framework (CETF) is to encourage our clients to transition to low-carbon activities.
99,"In particular, with a view to circular economy, Acea exploits the integration into water activities to ecover sludge from water purification and send it for treatment to become compost, also committing itself to the growth of its market position and operational capacity through plant acquisition and development projects."
100,The battery technology in electric and hybrid vehicles requires specific handling methods.
101,"This pillar is studied according to four criteria, two environmental and two social: water and biodiversity: ensuring efficient use of water resources and good control of negative externalities throughout the industrial process to preserve biodiversity; pollution and waste: ensuring that the principles of the circular economy are taken into account in the design, production and use of products/services to reduce pollution and promote recycling; working conditions: ensuring that employees, subcontractors and suppliers work in good health and safety conditions; human rights: ensuring that the trade union freedoms and fundamental human rights of employees, subcontractors and suppliers are respected."
102,"At the end of 2020, the outcome of this innovative approach was positive: greater importance was given to the energy transition in the management strategy for equity portfolios with assets of €18 billion at market value at the end of 2020; the ESG performance of CNP’s equity portfolios is close to that of the model portfolios; in terms of ESG performance, CNP Assurances’ equity portfolios outperformed the usual benchmark indices and remained balanced, allowing exposure to the economy as a whole."
103,Minibuses are a key part of the South African transportation sector as approximately 67 percent of all travel in South Africa is via minibus.
104,"Since 1990, we have been able to lower our overall greenhouse gas emissions from chemical operations by 48% and reduce speciﬁc emissions by 75%."
105,"Despite the Paris Accord being agreed in December 2015, only in the last two years have we seen carbon emissions emerge to take center stage in investment debates."
106,We provide financing for circular business activities.
107,"All the same, it remains a good starting point for measuring the carbon footprint of our investments."
108,"Finally, with the aim of promoting reuse of purified wastewater in the Integrated Water Service, at the Cobis treatment plant sections were completed for refinement of treated water, for its reuse for non-drinking-water purposes."
109,"This year we have set a commitment to reduce our Group balance sheet portfolio carbon emission intensity by half by 2030, starting with a target reduction of 2% in 2021."
110,The term “carbon footprint” in this report refers to absolute emissions financed by BlackRock’s clients’ investments divided by BlackRock’s AUM (rounded to $ millions) in those securities.
111,Committed to mobilize $250 billion in capital to support low-carbon solutions by 2030.
112,"Exposure to ecotaxes levied on transport, as well as fossil energy price fluctuations, are major factors for consideration."
113,"It intends to make every SGS employee feel empowered to drive operational efficiency, improve quality, and to reduce our environmental footprint, while at the same time, contributing to a more agile and innovative SGS."
114,Environmental and social responsibility is embedded in our daily work as we constantly strive to reduce our direct environmental footprint and encourage our staff’s involvement in impactful initiatives.
115,"Application processes: Following internal policies based on procedures for evaluating social and environmental considerations, the Equator Principles Department carries out assessments of environmental and social impacts relating to individual projects."
116,"In 2020, we established environmental KPIs to further address climate change-related risks that include target for reducing CO2 emissions by 2030."
117,This is an investor- led initiative to engage systemically important greenhouse gas emitters and other companies across the global economy that have significant opportunities to drive the clean energy transition and help achieve the goals of the Paris Agreement.
118,This volatility reduces when extending the period of comparison.
119,Any non-IT related incidents can be reported and investigated through either the Corporate Security Incident Reporting procedure or the Integrity Reporting procedure.
120,The need to change what and how much we eat should be one of the most obvious targets if the global food system is to become more sustainable.
121,"And by 2040, we will achieve climate neutrality and reduce our resource consumption."
122,"We have adopted a very cautious stance towards the financing of existing and new plants given the physical and other risks and issues associated with nuclear waste, unless it can be shown that the project is part of the energy transition and is supported by the relevant government."
123,"BNY Mellon uses water in our offce facilities for our cafeterias, cooling and heating needs, restrooms, and irrigation."
124,"Scope 3 calculations are based on data for the relevant activity, applying published emissions factors and GWPs."
125,"In accordance with its voting policy, CNP Assurances cast negative votes in 2020 against a company that had not taken and implemented sufficiently ambitious decisions to reduce greenhouse gas emissions."
126,The portfolio of bicycle loans in Belgium results in 2 109 tonnes of avoided emissions of CO2.
127,"At present, we only record Scope 3 emissions globally, and not at site or legal entity level."
128,"While we are able to look back at yet another year of injury rates well within our target, it is with deep regret that we report the loss of two lives in our operations in 2019."
129,(ii) Emissions factors: The CO2 emissions factor for crude oil was taken from IPCC.
130,"Depending on regulatory standards and the energy footprint, we sometimes use freshwater for cooling in a once-through system."
131,We divided our employee engagement program into two parts.
132,"The classifcation is based on (i) the EU taxonomy for environmental criteria, (ii) scope 1 and 2 carbon emissions data at the client level (where available) or sectoral level and (iii) internal expert judgement."
133,"The company has reduced its total carbon footprint by 27% since 2017, and reduced its carbon intensity by 15% over the same period."
134,"Moreover, JRE requests the PM companies to make proposals to help JRE reduce environmental impacts, such as energy efficiency measures in buildings."
135,Our goal is to minimize risks along the entire transportation chain – from loading and transportation to unloading.
136,"The project that scored most highly at the end of the course offers solar dehydrators, which enable small farms to increase their profits by extending the life of harvested fruits, vegetables and herbs."
137,"For the Water sector, the main risks are due to the effects of acute or chronic climatic phenomena or seismic events, which could lead to structural failure or malfunctions in the plants and network systems managed, causing water shortages for users or accidental spillage of pollutants; inefficient operational management of water, which could cause high levels of losses with consequent excessive consumption; water stress; possible breach of water control parameters with environmental consequences; inadequate interventions on the sewage treatment system with possible contamination of the soil and water bodies; risks of fires and explosions in treatment plants related to the production of biogas, with possible impacts in terms of emissions into the atmosphere."
138,"The Joint Committee, set up by virtue of the Protocol on Water Tender Contracts between Acea SpA, Acea Ato 2, the Trade Unions and the Trade Federations, in recent years, by means of collaborative discussions, facilitated the transparency of information and reduced the number of critical issues regarding the safety and organisation of the work of contractor Company personnel."
139,"Launched in 2017 on the new Peugeot 308, the new generation is now being installed on Groupe PSA vehicles across 100 models in more than 70 countries."
140,Roadworks has already reduced its carbon footprint by 11% since 2018.
141,All brands promote electrified vehicles and their advantages on their websites.
142,We continue to work to reduce our operational footprint by developing detailed and time bound plans in all of our business to achieve our aim of net zero.
143,Amundi encourages its employees to reduce emissions in their commute to work.
144,"We have been working to reduce energy consumption and GHG emissions of our portfolio, and have achieved a lower consumption levels and emissions than in previous years."
145,"Both types of criteria were applied to the Companies included in the scope of consolidation of the Parent Company in 2020 (see table no. 2) resulting in a proposal of scope, initially shared with Top Management, the Board of Statutory Auditors and the relevant board committees."
146,"Our regulations cover the transportation of raw materials, activities at our sites and warehouses, and distribution of our products as well as our customers’ application of the products."
147,We are also exploring options to provide energy to data centers that is renewable or non-polluting such as hydrogen fuel cell technologies.
148,"In addition, we use energy efficient LED lighting technology and motion sensors to reduce our water usage."
149,"While our custodial clients ultimately bear the risks of climate change in their portfolios, we are committed to help them identify these risks and offer them asset management products and services that can reduce these risks."
150,Promote the use of recycled materials from wherever possible.
151,Furthermore the team work to monitor and reduce ESG risks to improve each investment’s sustainability over the ownership period.
152,"We aim to reduce our greenhouse gas emissions per metric ton of sales product by 40% by 2020, compared with baseline 2002."
153,These groups stepped up in significant ways to help their colleagues cope with isolation while continuing important personal and professional development.
154,"Amundi has chosen to calculate its carbon emissions on scopes 1, 2 and 3, which correspond to the entity’s direct and indirect emissions."
155,"Beyond our defined goals, as signatories of the RE100, we increased our renewable electricity investment, maintained our Carbon Neutral status and began working with the Task Force on Climate-Related Financial Disclosures."
156,The recoverable amount is the higher of fair value less costs to sell and the value in use.
157,"Wherever possible, we work with local suppliers to ensure that goods are transported over short distances."
158,"It comprises of natural capital, such as water, air, soil, as well as marine and terrestrial fauna and flora that are grown in such resources under the blessings of the sun."
159,"To do this, we use recooling plants that allow water to be reused several times."
160,"The program targets new technologies to significantly reduce greenhouse gas emissions from production at our Verbund site in Ludwigshafen, Germany."
161,Composting of biowaste is recorded under recycling.
162,"In 2020, CNP Assurances formalised this commitment by signing the Tobacco-Free Finance Pledge."
163,We seek to minimize the waste we generate and to re-use or recycle materials wherever possible.
164,The BELCA (Building and Equipment Long-Life Cycle Association) Award is a program to select and recognize exemplary buildings and structures among those that are properly repaired and maintained or have undergone excellent renovation work.
165,JPR and TRIM are working to save energy and reduce CO2 emissions by setting an environmental goal of reducing the energy consumption intensity and the CO2 emission intensity of the entire portfolio by 5% or more for five years from 2017.
166,First Camp is working on a range of strategies to reduce its carbon footprint.
167,The calculation of a portfolio’s carbon footprint initially consists of calculating the amount of rateable assets in the portfolio.
168,"We are implementing a new travel policy to reduce fights for internal meetings and urging more environmentally friendly options such as videoconferencing or rail travel, when possible."
169,"We also help our customers to implement efficient and manageable processes and systems that conserve natural resources, reduce pollution and protect biodiversity."
170,"New farming methods include aquaponics, where plants are grown in water that is fertilised by fish, and vertical farming, where crops are grown in stacks."
171,Negative currency effects reduced sales development considerably.
172,Scope 1 and 3 reporting uses the UK Defra 2020 GHG Conversion Factors.
173,"With the publication of this report, we are announcing new, progressive, multi-decade targets around advancing a circular economy and climate protection."
174,"In 2017, we committed to facilitate $200 billion in clean fnancing by 2025 to further support our clients in advancing their sustainability objectives in the sectors of renewable energy, clean technology, clean transportation, waste management and water treatment, among others."
175,"Our standards for controversial activities and areas of concern not only take into account deforestation and forest degradation but also other activities like fisheries, which have an impact on marine species."
176,"For private issuers, this data relates to scopes 1 and 2 and a part of scope 3 corresponding to indirect emissions related to the first-tier suppliers (“Scope 3 upstream first tier”)."
177,"Each member of staff here at Natixis has a crucial role to play in this change, and so we constantly endeavor to raise awareness company-wide and encourage our staff’s efforts via a range of community and environmental initiatives, as we reduce our use of resources, ensure we manage our buildings responsibly, and promote environmentally friendly mobility practices."
178,"From the analysis shown so far, it is clear to us that meeting the challenges associated with creating a more sustainable food system globally requires a substantial transition of all relevant parts of the supply chain."
179,"Based on the portfolio analysis described above, we are working on white papers for the energy, commercial real estate, agriculture, food production, building and construction, chemicals, transportation and metals industry sectors, as well as for three specific product lines: mortgages, car loans and car leasing."
180,Biodiversity loss is a risk that can no longer be ignored.
181,Daily wage and migrant labourers have lost their livelihoods and disruptions to the supply chain mean that farmers have been unable to sell produce.
182,All these activities help the supply chain to reduce its carbon footprint.
183,"JPMorgan Chase — principally through our CIB and CB businesses — provides strategic advice, raises capital, extends loans, and offers risk management solutions to help our clients achieve their sustainability objectives and make the transition to a low-carbon economy."
184,"Latin America Brazil: Plant-based protein is still a niche market in Brazil, although the food industry agrees that it is a potentially attractive growth market."
185,"In tandem with the carbon neutrality goal, we are committing to reduce our location-based emissions by 75% by 2030."
186,"After long standing tenants moved out of the building, BNP Paribas REIM was able to completely renovate the asset with recycled materials, minimizing energy consumption and improving biodiversity."
187,This uses engagement with companies to support the climate transition pathway towards a low-carbon economy.
188,Several of the materials we store and transport are classified as hazardous.
189,"Firstly, we want to contribute to a reduction in carbon emissions in the Netherlands by making the residential and commercial real estate that we finance in the country more sustainable."
190,Our three-part approach for achieving carbon neutrality includes: (1) reducing our energy use and related greenhouse gas emissions as described above; (2) procuring renewable electricity; and (3) purchasing carbon offsets to compensate for any remaining emissions in our footprint.
191,The CO2 emissions factor for natural gas was calculated on the basis that natural gas is solely methane that is entirely converted into CO2.
192,The best way to reduce waste management is to reduce waste production at each stage of production process.
193,"The company develops agronomic weather, crop and pest models that can rapidly translate data into insights for more efficient agricultural production."
194,"By promoting direct dialogue with the companies in which it is a shareholder, CNP Assurances pursues the following objectives: support CNP Assurances’ climate and biodiversity strategy by encouraging companies in which it is a shareholder or bondholder to take and implement ambitious decisions on the environmental and energy transition (EET) in line with the Paris Agreement, and to disclose information on their greenhouse gas (GHG) emissions and risks related to climate change and biodiversity loss; improve the governance of the companies for which CNP Assurances has the most opposing votes at General Meetings in terms of remuneration or composition of the Board of Directors."
195,"We have measured carbon emissions for scopes 1,2 and parts of scope 3 of our own operations since 2004."
196,"Without urgently tackling and reversing deforestation, meeting the net zero challenge will be impossible."
197,"Interactions also take place through research projects with public bodies: in 2020, Acea participated in the activities of the Italian Research and Industrial Development Centre (AIRES), a network of companies, institutions and technology consortia engaged in the development of a circular economy and environmental sustainability, and the Italian Phosphorus Platform promoted by the Italian Ministry of the Environment and managed by ENEA."
198,"We are committed to managing finite resources more effectively and developing ways to reuse, recycle and prevent waste."
199,These programs are changing consumer behavior by encouraging the purchase of vehicles with lower CO2 emissions.
200,Accidents and incidents are recorded through the security team and accident rates tracked via facilities.
201,It can also relate to more stringent regulation and reputation risk linked to deforestation.
202,"Data and information supporting the Scope 3 GHG emissions assertion were in some cases estimated, rather than historical in nature."
203,First-aid incidents are generally not included in the LTIR since these usually do not result in more than one day of missed work.
204,"Scope 2 emissions, from purchased electricity, are the largest driver of our building-related emissions and overall operational GHG footprint."
205,"To be a responsible corporate citizen, State Street continuously works to minimize the environmental impacts of our business operations and set aggressive goals to reduce the environmental footprint of our business."
206,BNY Mellon is not active in project financing and is not an Equator Principles signatory.
207,"This year, the carbon offsetting initiative will be implemented by the Indonesian non-governmental organisation IDEP Foundation."
208,The North Alliance is targeting a 58% reduction in its total carbon footprint.
209,"In 2020, CNP Assurances: held direct dialogues with 11 companies; sent 21 letters to companies asking them to publish a plan for their exit from thermal coal; supported two collaborative engagement campaigns to stop the development of coal-fired power stations and reduce greenhouse gas emissions; participated in collective dialogue with a European energy company through the Climate Action 100+ initiative."
210,"The assets acquired included Bayer’s global glufosinate-ammonium business, commercialized under the Liberty®, Basta® and Finale® trademarks, as well as its seed businesses for key field crops in selected markets."
211,"The Equator Principles uses the Basel Committee on Banking Supervision’s definition of project finance, which is “a method of financing in which the lender looks primarily to the revenues generated by a single Project, both as the source of repayment and as security for the exposure."
212,"Scope 2 carbon dioxide emissions, deriving from leaks on electricity distribution networks, relative to total electricity distributed, is one of the intensity indices for greenhouse gas emissions monitored."
213,"These aim to minimise operational carbon emissions, implement a sustainable procurement approach, optimise waste management, and improve the working environment."
214,"Scope 3 includes all energy sources from business travel, working from home, processing of waste, outsourced emissions from our data centers and paper consumption."
215,"We also continue to collaborate with our clients on renewable energy funds, green bond issuance and other sustainable finance vehicles."
216,"For example, we succeeded in recycling 10 tons of paper, avoiding nearly 20 tons of CO2 being emitted into the atmosphere."
217,We define Liquid Real Assets (LRA) as an investment style within our Alternatives business but which – unlike most vehicles within Alternatives – has daily net asset value and daily liquidity.
218,"As a firm, we are also striving to improve on some metrics, such as carbon footprint and climate change."
219,"Carbon offsets are an important tool that enables companies to invest in projects that reduce GHG emissions and, in many cases, create valuable social and community co-benefts."
220,"The initiative encourages companies, organizations, governments and citizens to reduce and compensate for their greenhouse gas emissions."
221,"In particular, food shortages, water shortages, and the biodiversity crisis are global issues, and reducing food waste, securing water resources, and protecting nature are material issues for corporate sustainability."
222,"Carbon emissions are calculated based on the estimated volume of a company's direct (scope 1) and indirect (scope 2 only) greenhouse gas emissions, related to its total turnover."
223,"The FAO estimates the economic, environmental and social costs associated with food waste at USD 2.6 trillion."
224,A further positive contribution was provided by the 25 electric vehicles already in use in 2019 by the Company’s staff in the context of a car-sharing scheme (Renault ZOE cars).
225,"In addition, CNP Assurances supports a range of initiatives aimed at measuring the biodiversity footprint of our investments: in 2016 CNP Assurances became a founding member of Club B4B+ (Business for Positive Biodiversity), which brings together companies committed to positive biodiversity around CDC (Caisse des Dépots et Consignations); in May 2020, CNP Assurances joined the coalition of institutional investors calling for the creation of biodiversity impact measures respecting the transparency principles of the methodology."
226,"Through 2019, we helped channel $80 billion into low-carbon financing, up $50 billion from 2018."
227,"56% of the tenders carried out with the most competitive bid were awarded via rewarding criteria of sustainability, such as additional training on staff safety, the use of low emissions vehicles and the sustainability of materials used."
228,"Moreover, we will gradually reduce our existing exposure to the thermal coal mining sector."
229,"We encourage all employees, including permanent, seconded, contract, and temporary staff, to pursue self-development and professional development."
230,Coal capacity additions: This criterion is based on International Energy Agency’s World Energy Outlook (IEA WEO) data.
231,"In this way, we also contribute to preventive soil protection and keep today’s waste from becoming tomorrow’s contamination."
232,Towns and cities are reviewing their urban transport policies and increasingly discouraging the use of cars.
233,"For trucks in Asia, a higher CO2 emissions factor of 90 g per t*km was assumed."
234,"(SOF), launched in 2018, develops a balanced portfolio in the sustainable seafood sector, the circular economy and the conservation of coastal ecosystems."
235,"Acea Elabori entered into a Collaboration Agreement with Sapienza University of Rome’s Civil and Industrial Engineering Faculty, for the development of an effective training course connected to the needs of the world of work, the dissemination of the scientific culture and student support, and the increasing of female enrolment in the Faculty’s courses, and signed a Framework Agreement with the CNR (Italian National Research Council) to collaborate on minimising the production of sludge and chemical contaminants; on combined treatments for liquid waste, sludge and organic fraction of municipal solid waste (OFMSW) with the recovery of material and energy with a view to a circular economy and sustainable management; on mobile plants for the localised treatment of sludge and waste; on the issue of atmospheric emissions with a focus on innovative solutions and the sustainable management of water resources."
236,"Our LEAD (Learn, Engage, Achieve, Develop) initiative, which focuses on junior-level professional development with the primary goals of exercising leadership skills, networking, and fostering philanthropic activity."
237,We aim to reduce negative environmental and social effects of the goods and services UBS purchases and we engage with vendors to promote responsible practices.
238,"When acquiring real estate properties, JRE conducts on-site inspections and also investigates on soil contamination and toxic substances such as asbestos and PCBs by obtaining real estate appraisal reports and engineering reports in addition to receiving related disclosure materials from the sellers."
239,"There is pressure on the availability and use of land and the accessibility of metals such as lithium, nickel, and cobalt, which are vital to a low-carbon economy."
240,"The criteria are water abstraction volumes, water quality, conservation of biodiversity and water governance."
241,Therefore we have only calculated Scope 1 emissions.
242,"As a partner of the Sustainable Shipping Initiative, we are one of the leading banks to develop responsible ship recycling standards."
243,Companies paying dividends can reduce or cut payouts at any time.
244,"We consider ourselves an active owner in this sector, urging companies to amend their business model and transition to low-carbon energy provision."
245,"We promote recycling off office waste through effective separation, and we draw on external resources to help us reuse and recycle materials."
246,"ČSOB Czech Republic, meanwhile, offers a green car loan with a preferential fixed interest rate for financing electric vehicles (EVs), hybrids, plug-in hybrids, mild hybrids and CNG (compressed natural gas) and hydrogen cell-powered vehicles."
